epoch,total_reward,total_demand
1,-263.0,64
2,-107.0,62
3,-83.0,62
4,-120.0,67
5,-145.0,75
6,-69.0,68
7,-17.0,60
8,-129.0,72
9,-93.0,65
10,-49.0,73
11,-37.0,72
12,-29.0,71
13,-104.0,64
14,-14.0,69
15,-70.0,72
16,-2.0,63
17,-11.0,67
18,-9.0,71
19,-47.0,75
20,-69.0,70
21,-12.0,64
22,-24.0,67
23,-3.0,64
24,3.0,64
25,-6.0,67
26,-71.0,68
27,-44.0,71
28,-5.0,64
29,-41.0,69
30,-26.0,67
31,-20.0,67
32,-10.0,66
33,-84.0,69
34,-31.0,57
35,-24.0,64
36,-54.0,70
37,-70.0,72
38,-65.0,69
39,-47.0,64
40,-63.0,61
41,-42.0,73
42,-65.0,72
43,-29.0,69
44,-46.0,68
45,-23.0,64
46,-32.0,71
47,-30.0,66
48,-35.0,66
49,-62.0,75
50,-16.0,58
51,-36.0,67
52,-35.0,71
53,-30.0,72
54,-37.0,73
55,-36.0,73
56,-26.0,67
57,-10.0,65
58,-25.0,75
59,-41.0,59
60,-40.0,79
61,-20.0,69
62,2.0,62
63,-14.0,73
64,-9.0,61
65,-1.0,67
66,-19.0,70
67,-28.0,69
68,-15.0,68
69,-9.0,65
70,-26.0,77
71,-8.0,72
72,-10.0,66
73,-18.0,69
74,-16.0,67
75,-6.0,67
76,-12.0,63
77,-22.0,66
78,-1.0,67
79,3.0,62
80,-15.0,68
81,-16.0,58
82,-2.0,71
83,-20.0,83
84,4.0,68
85,-1.0,63
86,3.0,67
87,-10.0,71
88,-8.0,69
89,-21.0,66
90,-8.0,68
91,-6.0,66
92,-5.0,72
93,1.0,60
94,-17.0,67
95,5.0,62
96,6.0,66
97,-14.0,61
98,9.0,64
99,-7.0,71
100,5.0,70
101,-5.0,63
102,-6.0,64
103,3.0,64
104,-2.0,72
105,-5.0,67
106,1.0,66
107,-24.0,68
108,-28.0,68
109,0.0,65
110,-29.0,73
111,5.0,69
112,-8.0,61
113,4.0,67
114,-22.0,77
115,5.0,63
116,-5.0,69
117,-66.0,78
118,7.0,59
119,0.0,64
120,0.0,69
121,-13.0,69
122,-19.0,73
123,-11.0,73
124,-11.0,66
125,-13.0,73
126,4.0,63
127,-1.0,74
128,-7.0,71
129,-5.0,60
130,4.0,60
131,0.0,71
132,0.0,68
133,4.0,67
134,-34.0,71
135,5.0,73
136,-7.0,67
137,-4.0,66
138,-24.0,70
139,-12.0,69
140,7.0,63
141,-8.0,72
142,-12.0,67
143,-15.0,70
144,7.0,65
145,-7.0,65
146,-5.0,66
147,-19.0,74
148,1.0,67
149,-17.0,72
150,11.0,66
151,-7.0,66
152,3.0,66
153,10.0,57
154,-8.0,69
155,-8.0,70
156,-15.0,73
157,5.0,67
158,2.0,62
159,-21.0,69
160,-4.0,74
161,-8.0,76
162,0.0,70
163,-24.0,80
164,5.0,71
165,-6.0,69
166,5.0,63
167,0.0,66
168,-8.0,66
169,-8.0,74
170,1.0,77
171,5.0,69
172,4.0,66
173,-14.0,75
174,-3.0,67
175,-13.0,67
176,0.0,64
177,5.0,65
178,4.0,69
179,-3.0,68
180,3.0,64
181,-3.0,72
182,-14.0,75
183,6.0,66
184,7.0,57
185,6.0,64
186,12.0,64
187,5.0,72
188,-13.0,71
189,8.0,72
190,4.0,74
191,5.0,66
192,-3.0,64
193,-3.0,68
194,-9.0,68
195,-6.0,76
196,-7.0,64
197,4.0,71
198,-2.0,68
199,-10.0,71
200,-28.0,70
201,0.0,73
202,10.0,67
203,-1.0,73
204,4.0,70
205,11.0,69
206,-3.0,69
207,6.0,62
208,-13.0,66
209,-1.0,63
210,-6.0,68
211,3.0,64
212,3.0,59
213,0.0,65
214,-6.0,73
215,2.0,68
216,1.0,67
217,11.0,60
218,-8.0,66
219,-12.0,68
220,5.0,69
221,7.0,68
222,-6.0,62
223,-9.0,70
224,-8.0,73
225,-6.0,72
226,-10.0,70
227,-9.0,68
228,3.0,58
229,0.0,68
230,-8.0,67
231,2.0,69
232,-12.0,77
233,5.0,63
234,3.0,64
235,-9.0,74
236,8.0,70
237,2.0,62
238,0.0,68
239,4.0,70
240,-9.0,76
241,7.0,70
242,11.0,63
243,-19.0,72
244,4.0,59
245,3.0,76
246,-33.0,78
247,3.0,70
248,-2.0,71
249,10.0,69
250,4.0,69
251,-5.0,72
252,1.0,70
253,-1.0,71
254,1.0,65
255,-2.0,69
256,2.0,67
257,-3.0,76
258,-2.0,74
259,5.0,66
260,-2.0,66
261,14.0,70
262,9.0,69
263,-3.0,72
264,-5.0,67
265,0.0,64
266,-20.0,64
267,-15.0,73
268,9.0,75
269,-2.0,65
270,-8.0,75
271,-19.0,73
272,-16.0,71
273,7.0,70
274,-8.0,69
275,10.0,63
276,-3.0,76
277,10.0,72
278,-34.0,71
279,10.0,59
280,13.0,66
281,8.0,62
282,-10.0,73
283,0.0,68
284,10.0,64
285,-2.0,77
286,2.0,62
287,4.0,60
288,-13.0,79
289,-1.0,64
290,6.0,63
291,-8.0,67
292,6.0,58
293,4.0,68
294,4.0,62
295,0.0,67
296,-4.0,65
297,5.0,68
298,-17.0,72
299,-11.0,71
300,-33.0,70
301,-10.0,68
302,-23.0,70
303,-9.0,67
304,-8.0,65
305,-1.0,71
306,11.0,71
307,9.0,64
308,3.0,57
309,5.0,70
310,6.0,71
311,5.0,75
312,-7.0,74
313,-1.0,69
314,11.0,64
315,1.0,66
316,-3.0,75
317,-5.0,66
318,9.0,68
319,-33.0,74
320,2.0,68
321,12.0,65
322,8.0,58
323,5.0,65
324,4.0,69
325,2.0,67
326,8.0,71
327,-11.0,69
328,-7.0,75
329,-4.0,67
330,6.0,62
331,5.0,65
332,5.0,64
333,6.0,62
334,0.0,61
335,2.0,72
336,-4.0,65
337,4.0,72
338,17.0,56
339,-2.0,69
340,4.0,68
