epoch,total_reward,total_demand
1,-10.0,70
2,-20.0,63
3,-22.0,70
4,12.0,57
5,-5.0,60
6,-5.0,64
7,-2.0,70
8,-14.0,66
9,-235.0,63
10,5.0,64
11,0.0,66
12,-8.0,67
13,-42.0,72
14,-67.0,70
15,-3.0,68
16,-6.0,65
17,-55.0,68
18,-19.0,72
19,-80.0,61
20,-7.0,63
21,-46.0,65
22,-64.0,71
23,-22.0,71
24,-113.0,71
25,-143.0,73
26,-12.0,77
27,-12.0,70
28,-4.0,68
29,-37.0,65
30,-12.0,72
31,-3.0,71
32,-55.0,68
33,-11.0,67
34,0.0,69
35,-4.0,62
36,-75.0,67
37,-35.0,67
38,-93.0,73
39,-31.0,65
40,-39.0,74
41,-70.0,61
42,-25.0,71
43,-4.0,69
44,-3.0,61
45,-92.0,78
46,8.0,57
47,-1.0,69
48,2.0,71
49,-25.0,75
50,-2.0,62
51,-30.0,73
52,-7.0,70
53,-8.0,82
54,-3.0,72
55,0.0,70
56,1.0,64
57,3.0,72
58,-64.0,66
59,-58.0,65
60,-11.0,64
61,-9.0,65
62,-25.0,77
63,2.0,72
64,-29.0,67
65,-8.0,70
66,0.0,60
67,-7.0,71
68,-6.0,60
69,-146.0,70
70,5.0,67
71,-3.0,80
72,-10.0,72
73,11.0,63
74,-3.0,73
75,4.0,60
76,-73.0,65
77,-19.0,70
78,0.0,67
79,-10.0,67
80,-152.0,67
81,-3.0,59
82,-42.0,67
83,-8.0,66
84,-28.0,77
85,-21.0,70
86,-27.0,69
87,-15.0,68
88,-6.0,69
89,-16.0,71
90,-27.0,73
91,-10.0,71
92,-52.0,68
93,0.0,72
94,-15.0,70
95,-18.0,67
96,3.0,74
97,-9.0,63
98,-114.0,58
99,-14.0,68
100,0.0,75
101,-14.0,62
102,-107.0,72
103,-6.0,65
104,-85.0,72
105,2.0,70
106,13.0,61
107,-4.0,64
108,-9.0,70
109,-106.0,71
110,-97.0,65
111,-165.0,74
112,13.0,59
113,-22.0,60
114,-9.0,71
115,-12.0,69
116,-46.0,70
117,-4.0,69
118,-23.0,74
119,7.0,62
120,-51.0,77
121,-10.0,70
122,-15.0,72
123,-2.0,69
124,-10.0,59
125,-77.0,65
126,-14.0,77
127,-78.0,69
128,-49.0,66
129,-17.0,68
130,4.0,63
131,0.0,65
132,-131.0,71
133,-193.0,64
134,-35.0,69
135,-16.0,70
136,-23.0,66
137,-14.0,61
138,-25.0,67
139,-20.0,65
